LIBELLE_CLIENT;CODE_PRODUIT;SUPPORT;CODEISIN;LIBELLE_VALEUR;SENS;QUANTITE;QUANTITE_MNT;LIBDEV;DATE_EXEC;COURS_EXEC;TX_CONV_RGLT;MNT_BRUT_EUR;MNT_NET_EUR;CC;FRAIS_TRANSAC_TTC_EUR;COM_CIC_RL_HT
FCP HUGAU MONETERME;OBE;OBL;BE0002206721;BEKAERT 4,75%13-171020;A;156.0;156000.0;EUR;2020-01-02;103.5;1.0;163099.92;163134.92;1639.92;35.0;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004645542;MEDIOBANCA-BCA 5%10-151120;A;1300.0;1300000.0;EUR;2020-01-03;104.05;1.0;1362062.52;1362259.82;9412.52;197.3;35.0
FCP HUGAU MONETERME;OBF;TCN;FR0125974651;CGP    NCP PRE-CPTE   31032020;A;20000000.0;20000000.0;EUR;2020-01-02;0.99902317;1.0;19980463.4;19980488.4;;25.0;25.0
FCP HUGAU MONETERME;OBE;OBL;AT0000A100E2;WIENERBERGER AG 4%13-170420;A;2000.0;2000000.0;EUR;2020-01-02;101.129;1.0;2080284.92;2080589.96;57704.92;305.04;35.0
FCP HUGAU MONETERME;OBF;TCN;FR0126030438;VICAT  NCP05012021;A;10000000.0;10000000.0;EUR;2020-01-02;0.99974659;1.0;9997465.9;9997490.9;;25.0;25.0
FCP HUGAU MONETERME;OBE;OBL;IT0004720436;MEDIOBANCA-BCA TV11-130621;A;54.0;54000.0;EUR;2020-01-02;105.89361;1.0;57344.55;57396.71;162.0;52.16;35.0
FCP HUGAU MONETERME;OBE;OBL;FR0012830685;ATOS SE 2,375%15-020720;A;48.0;4800000.0;EUR;2020-01-03;100.592;1.0;4887284.85;4888005.94;58868.85;721.09;60.0
FCP HUGAU MONETERME;OBE;OBL;DE000DL19T18;DEUTSCHE BANK 0,375%18-180121;A;50.0;5000000.0;EUR;2020-01-03;99.937;1.0;5015034.09;5015774.33;18184.09;740.24;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0005042087;BANCA IMI TV14-051121;A;57.0;57000.0;EUR;2020-01-03;99.9;1.0;56967.59;57019.68;24.59;52.09;35.0
FCP HUGAU MONETERME;OBE;OBL;XS0525912449;BARCLAYS 6%10-140121 SUB.S.206;A;2826.0;2826000.0;EUR;2020-01-06;106.023;1.0;3162982.69;3163449.22;166772.71;466.53;39.53
FCP HUGAU MONETERME;OBF;TCN;FR0125974891;COMPAG NCP08042020;A;20000000.0;20000000.0;EUR;2020-01-06;1.00017697;1.0;20003539.4;20003564.4;;25.0;25.0
FCP HUGAU MONETERME;OBE;OBL;IT0005042087;BANCA IMI TV14-051121;A;2000.0;2000000.0;EUR;2020-01-07;99.86986;1.0;1998287.4;1999179.36;890.2;891.96;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1190663952;BBVA TV15-PERP PREF.SEC.COCOS;A;14.0;2800000.0;EUR;2020-01-07;100.725;1.0;2847006.52;2847066.52;26706.52;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0005042087;BANCA IMI TV14-051121;A;344.0;344000.0;EUR;2020-01-07;99.85;1.0;343637.11;343784.7;153.11;147.59;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1205716720;AUTOSTR BRESCIA 2,375%15-0320;V;5000.0;5000000.0;EUR;2020-01-07;100.35;1.0;5113214.0;5113154.0;95714.0;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0005042087;BANCA IMI TV14-051121;A;344.0;344000.0;EUR;2020-01-07;99.85;1.0;343637.11;343784.7;153.11;147.59;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1205716720;AUTOSTR BRESCIA 2,375%15-0320;V;2000.0;2000000.0;EUR;2020-01-07;100.35;1.0;2045285.6;2045250.6;38285.6;35.0;35.0
FCP HUGAU MONETERME;OBE;OBL;USU07265AB47;BAYER US FIN II TV18-250621;A;4060.0;4060000.0;USD;2020-01-08;100.42;1.1127;3667763.29;3668304.27;3656.16;540.98;45.84
FCP HUGAU MONETERME;OBE;OBL;IT0004960669;INTESA SANPAOLO 5%13-171020;A;5.0;500000.0;EUR;2020-01-08;103.67;1.0;104831.2;104897.3;1161.2;66.1;35.0
FCP HUGAU MONETERME;OBE;TCN;DE000A254MQ4;ECP METRO AG 28 02 2020;A;210.0;21000000.0;EUR;2020-01-09;100.00068057;1.0;21000142.92;21000197.92;;55.0;55.0
FCP HUGAU MONETERME;OBE;OBL;US40429CGD83;HSBC FINANCE 10/21;A;2619.0;2619000.0;USD;2020-01-09;104.2;1.1105;2535298.39;2535671.68;77848.59;373.29;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0005042087;BANCA IMI TV14-051121;A;73.0;73000.0;EUR;2020-01-10;99.95;1.0;72998.49;73055.38;34.99;56.89;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1043535092;BCO SANT.TV14-PERP.PF SEC.CV;A;81.0;8100000.0;EUR;2020-01-10;100.87;1.0;8210719.21;8210779.21;40249.21;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;XS1190663952;BBVA TV15-PERP PREF.SEC.COCOS;A;66.0;13200000.0;EUR;2020-01-13;100.62;1.0;13422269.35;13422329.35;140429.35;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0005056541;ITALIE TV14-151220;V;10000.0;10000000.0;EUR;2020-01-14;100.609;1.0;10064989.0;10064929.0;4089.0;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;XS0525912449;BARCLAYS 6%10-140121 SUB.S.206;A;4010.0;4010000.0;EUR;2020-01-13;105.88;1.0;4246445.38;4247071.72;657.38;626.34;53.08
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;117.0;;;2020-01-14;190048.34;1.0;22235655.78;22235640.78;;;15.0
FCP HUGAU MONETERME;OBE;OBL;XS1190663952;BBVA TV15-PERP PREF.SEC.COCOS;A;40.0;8000000.0;EUR;2020-01-14;100.6;1.0;8134576.09;8134636.09;86576.09;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0004960669;INTESA SANPAOLO 5%13-171020;A;10.0;1000000.0;EUR;2020-01-14;103.6;1.0;209686.34;209783.5;2486.34;97.16;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);A;65.0;;;2020-01-16;190044.3;1.0;12352879.5;12352894.5;;;15.0
FCP HUGAU MONETERME;OBF;TCN;FR0126069782;BOLLOR NCP PRE-CPTE   20042020;A;30000000.0;30000000.0;EUR;2020-01-16;1.00039195;1.0;30011758.5;30011783.5;;25.0;25.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;A;100.0;;;2020-01-20;107033.73;1.0;10703373.0;10703388.0;;;15.0
FCP HUGAU MONETERME;OBE;OBL;XS1043535092;BCO SANT.TV14-PERP.PF SEC.CV;A;47.0;4700000.0;EUR;2020-01-21;100.735;1.0;4764268.88;4764328.88;29723.88;60.0;60.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;V;100.0;;;2020-01-22;107032.33;1.0;10703233.0;10703218.0;;;15.0
FCP HUGAU MONETERME;OBE;OBL;DE000DL19T18;DEUTSCHE BANK 0,375%18-180121;A;26.0;2600000.0;EUR;2020-01-22;100.13;1.0;2603539.84;2603923.37;159.84;383.53;35.0
FCP HUGAU MONETERME;OBE;TCN;XS2105096072;ECP FINCANTIERI 27032020;A;15000000.0;15000000.0;EUR;2020-01-22;99.99466693;1.0;14999200.04;14999255.04;;55.0;55.0
FCP HUGAU MONETERME;OBE;OBL;XS0525912449;BARCLAYS 6%10-140121 SUB.S.206;A;3500.0;3500000.0;EUR;2020-01-22;105.74;1.0;3706637.7;3707184.42;5737.7;546.72;46.33
FCP HUGAU MONETERME;OBE;OBL;XS0995040051;ANGLO AMER CAPITAL 2,875%13-20;A;1000.0;1000000.0;EUR;2020-01-22;102.3542;1.0;1028647.87;1028795.17;5105.87;147.3;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1190663952;BBVA TV15-PERP PREF.SEC.COCOS;A;36.0;7200000.0;EUR;2020-01-22;100.455;1.0;7321243.7;7321303.7;88483.7;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;XS0487711573;BANK OF IE GRP 10%10-0220 SUB.;V;10000.0;10000000.0;EUR;2020-01-23;100.446;1.0;11000764.38;10999126.27;956164.38;1638.11;60.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;V;90.0;;;2020-01-23;107031.2;1.0;9632808.0;9632793.0;;;15.0
