CODEISIN;CATV;31/12/2019;02/01/2020;03/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;18/05/2020;19/05/2020;20/05/2020;22/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;13/07/2020;15/07/2020;16/07/2020;17/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;27/07/2020;28/07/2020;SOM;;-1,04454E-05;-1,04454E-05
AT0000A100E2;CPON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AT0000A100E2;VMOB;0;1,8579E-06;5,5738E-06;2,0656E-06;2,0656E-06;2,0656E-06;2,0656E-06;0,000006164;2,0546E-06;2,0546E-06;2,0547E-06;2,0328E-06;6,0654E-06;2,0219E-06;2,0109E-06;2,0109E-06;2,0219E-06;6,0656E-06;2,0219E-06;1,9891E-06;1,9891E-06;0,000002;6,0328E-06;0,000002;2,0219E-06;2,0437E-06;2,0328E-06;6,0984E-06;2,0328E-06;2,0219E-06;2,0326E-06;2,0328E-06;6,0984E-06;2,0328E-06;2,0219E-06;2,0328E-06;2,0328E-06;5,9344E-06;1,9563E-06;1,9563E-06;1,9454E-06;1,9563E-06;5,7705E-06;1,9235E-06;1,9563E-06;1,9126E-06;1,9454E-06;5,9344E-06;1,9998E-06;0,000002;0,000002;2,0219E-06;6,3279E-06;2,1202E-06;2,1421E-06;0,000002153;0,000002153;6,4918E-06;2,1967E-06;2,2186E-06;2,2514E-06;2,2514E-06;6,9508E-06;0,000002317;2,3169E-06;2,3388E-06;2,3497E-06;6,9506E-06;2,3388E-06;2,2077E-06;2,2186E-06;1,11476E-05;2,2186E-06;2,2404E-06;2,2623E-06;2,2623E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000222459;;0,000325335;0,000325335
AT01.EUR;TRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AT01.GBP;TRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AT01.USD;TRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BE0002206721;VMOB;0;4,023E-07;1,3051E-06;0,000000408;4,283E-07;4,283E-07;4,283E-07;1,2848E-06;4,283E-07;4,283E-07;4,283E-07;4,153E-07;1,2459E-06;4,153E-07;4,153E-07;4,153E-07;4,153E-07;1,2459E-06;4,153E-07;4,024E-07;4,153E-07;4,153E-07;1,2459E-06;4,153E-07;4,153E-07;4,153E-07;4,153E-07;1,2459E-06;4,153E-07;4,153E-07;4,153E-07;4,153E-07;1,2459E-06;4,153E-07;4,153E-07;4,153E-07;4,153E-07;1,2069E-06;4,023E-07;4,024E-07;4,023E-07;4,023E-07;0,000001168;3,893E-07;4,024E-07;3,893E-07;4,023E-07;0,000001207;4,153E-07;4,153E-07;4,153E-07;4,153E-07;1,3238E-06;4,413E-07;4,413E-07;4,412E-07;4,413E-07;1,3238E-06;4,413E-07;5,571E-07;4,552E-07;5,061E-07;1,5574E-06;5,191E-07;5,192E-07;5,321E-07;5,321E-07;1,5574E-06;5,321E-07;4,932E-07;5,061E-07;2,5307E-06;5,062E-07;5,061E-07;5,061E-07;1,5184E-06;5,061E-07;5,192E-07;5,191E-07;5,191E-07;1,5574E-06;5,191E-07;5,321E-07;5,321E-07;2,1284E-06;5,321E-07;5,321E-07;5,321E-07;2,1803E-06;5,451E-07;5,451E-07;5,451E-07;5,451E-07;1,6352E-06;5,451E-07;5,581E-07;1,1161E-06;1,6742E-06;0,000000558;5,711E-07;0,000000571;0,000000571;2,2841E-06;5,711E-07;0,000000571;0,000000571;1,6742E-06;0,000000558;5,711E-07;0,000000571;0,000000571;1,7131E-06;0,000000571;5,711E-07;0,000000571;0,000000571;1,7131E-06;0,000000571;5,711E-07;0,000000571;0,000000571;1,7131E-06;0,000000571;5,711E-07;0,000000584;0,000000584;0,000001752;0,000000558;5,581E-07;5,451E-07;5,581E-07;1,6742E-06;1,1161E-06;5,581E-07;0,000000558;1,6742E-06;5,321E-07;5,321E-07;5,192E-07;5,061E-07;1,5963E-06;5,191E-07;5,191E-07;0,000103358;;;
BE0002428036;CPON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BE0002428036;VMOB;0;0,00000125;0,00000375;0,00000125;0,00000125;0,00000125;0,00000125;3,7499E-06;0,00000125;0,00000125;0,00000125;1,2295E-06;3,6886E-06;1,2193E-06;1,2192E-06;1,2193E-06;1,2193E-06;3,6578E-06;1,2193E-06;0,000001209;0,000001209;0,000001209;3,6577E-06;0,000001209;1,2193E-06;1,2398E-06;1,2295E-06;3,6886E-06;1,2295E-06;1,2294E-06;1,2295E-06;1,2295E-06;3,6886E-06;1,2295E-06;1,2295E-06;1,2295E-06;1,2295E-06;3,5962E-06;1,1885E-06;1,1885E-06;1,1783E-06;1,1885E-06;3,5041E-06;1,1679E-06;1,1885E-06;1,1578E-06;1,1783E-06;3,5963E-06;0,000001209;0,000001209;0,000001209;1,2192E-06;3,8422E-06;1,2808E-06;1,3012E-06;1,3012E-06;1,3012E-06;3,9343E-06;0,000001332;1,3422E-06;1,3627E-06;0,000001373;0,000001373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000106291;;;
BE0002442177;CPON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BE0002442177;VMOB;0;1,3674E-06;3,9293E-06;1,3074E-06;1,3073E-06;1,3074E-06;1,3073E-06;3,9222E-06;1,3073E-06;1,3074E-06;1,3073E-06;1,2849E-06;3,8544E-06;1,2736E-06;1,2735E-06;1,2736E-06;1,2735E-06;3,8208E-06;1,2735E-06;1,2624E-06;1,2622E-06;1,2624E-06;3,8206E-06;1,2624E-06;1,2735E-06;1,2962E-06;1,2848E-06;3,8546E-06;1,2848E-06;1,2849E-06;1,2848E-06;1,2849E-06;3,8545E-06;1,2849E-06;1,2848E-06;1,2849E-06;1,2848E-06;3,7531E-06;1,2397E-06;1,2398E-06;1,2284E-06;1,2398E-06;3,6516E-06;1,2173E-06;1,2397E-06;1,2173E-06;1,2397E-06;0,000003753;1,2624E-06;1,2735E-06;1,2624E-06;1,2848E-06;4,0236E-06;1,3411E-06;1,3525E-06;1,3637E-06;1,3638E-06;4,1249E-06;1,3863E-06;1,3975E-06;1,4201E-06;0,00000142;4,3617E-06;1,4651E-06;1,4652E-06;1,4764E-06;1,4765E-06;4,3616E-06;1,4765E-06;1,3862E-06;1,3976E-06;6,9876E-06;1,3976E-06;1,4087E-06;1,4201E-06;0,000004294;1,4314E-06;1,4313E-06;0,000001454;1,4538E-06;4,3617E-06;1,4538E-06;1,4652E-06;1,4764E-06;5,9508E-06;0,000001499;1,4989E-06;1,4989E-06;5,9959E-06;0,000001499;1,5102E-06;1,5103E-06;1,5215E-06;4,5646E-06;1,5327E-06;1,5329E-06;3,0881E-06;4,6321E-06;1,5441E-06;1,5665E-06;1,5779E-06;1,5778E-06;6,3115E-06;1,5892E-06;1,5891E-06;1,6005E-06;4,7335E-06;1,5779E-06;1,5778E-06;1,6005E-06;1,5778E-06;4,7337E-06;1,5891E-06;1,5892E-06;1,5891E-06;1,6005E-06;4,8012E-06;1,6005E-06;1,6116E-06;1,6005E-06;1,6003E-06;4,8013E-06;1,6003E-06;1,6005E-06;1,6229E-06;0,000001623;4,9026E-06;0,000001544;1,5554E-06;1,5327E-06;1,5441E-06;0,000004666;3,1106E-06;1,5554E-06;1,5553E-06;4,6323E-06;1,4876E-06;1,4765E-06;1,4313E-06;1,4201E-06;4,3954E-06;0,000001454;1,4426E-06;0,000298138;;;
