CODEISIN;CATV;PERF_POS_1M;PERF_POS_3M;PERF_POS_YTD;PERF_POS_DEB;CTRB_POS_1M;CTRB_POS_3M;CTRB_POS_YTD;CTRB_POS_DEB;CTRB_PORT_1M;CTRB_PORT_3M;CTRB_PORT_YTD;CTRB_PORT_DEB;PERF_PORT_1M;PERF_PORT_3M;PERF_PORT_YTD;PERF_PORT_DEB;PNL_PORT_1M;PNL_PORT_3M;PNL_PORT_YTD;PNL_PORT_DEB;CTRB_VENTE_1M;CTRB_VENTE_3M;CTRB_VENTE_YTD;CTRB_VENTE_DEB;PNL_VENTE_1M;PNL_VENTE_3M;PNL_VENTE_YTD;PNL_VENTE_DEB;FRAIS_1M;FRAIS_3M;FRAIS_YTD;FRAIS_DEB;CTRB_FRAIS_1M;CTRB_FRAIS_3M;CTRB_FRAIS_YTD;CTRB_FRAIS_DEB;C_D
AT0000A100E2;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
AT0000A100E2;VMOB;0,0000000000;0,0000000000;-0,0095068330;-0,0095068330;0,0000000000;0,0000000000;-0,0001805581;-0,0001805581;0,0000000000;0,0000000000;0,0002224329;0,0002224329;0,0000000000;0,0000000000;0,0116939901;0,0116939901;0,0000000000;0,0000000000;222422,4201345423;222422,4201345423;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;305,0400000000;305,0400000000;0,0000000000;0,0000000000;0,0000002912;0,0000002912;EUR
AT01.CHF;TRES;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;CHF
AT01.EUR;TRES;0,0000000000;0,0000000000;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
AT01.GBP;TRES;0,0196320400;0,0286066839;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;GBP
AT01.USD;TRES;-0,0097210484;-0,0989010926;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;USD
BE0002206721;VMOB;-0,0001700884;-0,0094072165;-0,0295699969;-0,0295699969;-0,0000007011;-0,0000030909;-0,0001107080;-0,0001107080;0,0000168230;0,0000498532;0,0001212315;0,0001212315;0,0041530014;0,0118101091;0,0315368816;0,0315368816;15220,7500000000;43284,0500000000;111635,5004988869;111635,5004988869;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;85,0400000000;85,0400000000;0,0000000000;0,0000000000;0,0000000840;0,0000000840;EUR
BE0002428036;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
BE0002428036;VMOB;0,0000000000;0,0000000000;-0,0071379642;-0,0071379642;0,0000000000;0,0000000000;-0,0000862519;-0,0000862519;0,0000000000;0,0000000000;0,0001063264;0,0001063264;0,0000000000;0,0000000000;0,0088114798;0,0088114798;0,0000000000;0,0000000000;109024,4400000000;109024,4400000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
BE0002442177;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
BE0002442177;VMOB;-0,0022794553;-0,0074215874;-0,0273304473;-0,0273304473;-0,0000294064;-0,0000975106;-0,0003518482;-0,0003518482;0,0000466836;0,0001386451;0,0003478309;0,0003478309;0,0036065601;0,0102561499;0,0273882195;0,0273882195;42294,1300000000;120273,8700000000;321181,6499999999;321181,6499999999;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
BE6315770030;CRNE;0,0000000000;0,0000000000;1,7777777778;1,7777777778;0,0000000000;0,0000000000;-0,0000010688;-0,0000010688;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
BE6317850467;CRNE;0,0000000000;0,0000000000;1,8888888889;1,8888888889;0,0000000000;0,0000000000;-0,0000018343;-0,0000018343;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
BQ01.CHF;TRES;0,0005575240;-0,0078052336;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;CHF
BQ01.EUR;TRES;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
BQ01.GBP;TRES;0,0148081663;0,0083015505;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;GBP
BQ01.USD;TRES;-0,0043704869;-0,0690872474;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;USD
CH0110442859;VMOB;0,0000000000;0,0000000000;-0,0059618442;-0,0059618442;0,0000000000;0,0000000000;-0,0000774172;-0,0000774172;0,0000000000;0,0000000000;0,0000880517;0,0000880517;0,0000000000;0,0000000000;0,0067824777;0,0067824777;0,0000000000;0,0000000000;98108,5400000000;98108,5400000000;0,0000000000;0,0000000000;-0,0000026057;-0,0000026057;0,0000000000;0,0000000000;-2892,9999999994;-2892,9999999994;0,0000000000;0,0000000000;60,0000000000;60,0000000000;0,0000000000;0,0000000000;0,0000000554;0,0000000554;CHF
CH0249899110;VMOB;-0,0036948272;-0,0024995001;-0,0097270471;-0,0097270471;-0,0000157338;-0,0000146161;-0,0000441795;-0,0000441795;0,0000051483;0,0000157603;0,0000407145;0,0000407145;0,0011593348;0,0033723608;0,0092837384;0,0092837384;5141,6500000000;14956,4200000000;41173,3800000000;41173,3800000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;CHF
CH0253514753;VMOB;;;;;-0,0000000361;-0,0000000361;-0,0000000361;-0,0000000361;0,0000000220;0,0000000220;0,0000000220;0,0000000220;0,0000482444;0,0000482444;0,0000482444;0,0000482444;21,7100000000;21,7100000000;21,7100000000;21,7100000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;161,1300000000;161,1300000000;161,1300000000;161,1300000000;0,0000001717;0,0000001717;0,0000001717;0,0000001717;CHF
CH0255286707;VMOB;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000033;0,0000000033;0,0000000033;0,0000000033;0,0000656000;0,0000656000;0,0000656000;0,0000656000;3,2800000000;3,2800000000;3,2800000000;3,2800000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;49,0800000000;49,0800000000;49,0800000000;49,0800000000;0,0000000523;0,0000000523;0,0000000523;0,0000000523;CHF
CH0255893049;VMOB;-0,0005003502;0,0018054162;-0,0120672601;-0,0120672601;-0,0000000073;0,0000000284;-0,0000001469;-0,0000001469;0,0000000144;0,0000000444;0,0000001136;0,0000001136;0,0009660000;0,0028253333;0,0077186667;0,0077186667;14,4900000000;42,3800000000;115,7800000000;115,7800000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;CHF
CH0287282476;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;CHF
